ORDER_ID,PURCHASE_DATE,PURCHASE_MONTH,CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_AGE,CUSTOMER_SEGMENT,COUNTRY,REGION,CITY,POSTAL_CODE,PRODUCT_CATEGORY,SUB_CATEGORY,PRODUCT,UNIT_PRICE,QUANTITY,TOTAL_SALE
CA-2015-100006,2015-09-07,9,DK-13375,Dennis Kane,44,Senior,United States,East,New York City,10024,Accessories,Audio,AirPods,199.0,1,199.0
CA-2015-100090,2015-07-08,7,EB-13705,Ed Braxton,44,Senior,United States,West,San Francisco,94122,Accessories,Wearables,Apple Watch,399.0,3,1197.0
CA-2015-100090,2015-07-08,7,EB-13705,Ed Braxton,44,Senior,United States,West,San Francisco,94122,Devices,Tablets,iPad,799.0,4,3196.0
CA-2015-100293,2015-03-14,3,NF-18475,Neil Französisch,45,Senior,United States,South,Jacksonville,32216,Accessories,Audio,AirPods,199.0,4,796.0
CA-2015-100328,2015-01-28,1,JC-15340,Jasper Cacioppo,55,Senior,United States,East,New York City,10024,Devices,Tablets,iPad,799.0,1,799.0
CA-2015-100363,2015-04-08,4,JM-15655,Jim Mitchum,42,Senior,United States,West,Glendale,85301,Accessories,Audio,AirPods,199.0,7,1393.0
CA-2015-100391,2015-05-25,5,BW-11065,Barry Weirich,42,Senior,United States,East,New York City,10035,Accessories,Wearables,Apple Watch,399.0,2,798.0
CA-2015-100678,2015-04-18,4,KM-16720,Kunst Miller,42,Senior,United States,Central,Houston,77095,Accessories,Audio,AirPods,199.0,8,1592.0
CA-2015-100678,2015-04-18,4,KM-16720,Kunst Miller,42,Senior,United States,Central,Houston,77095,Devices,Laptops,MacBook,1999.0,1,1999.0
CA-2015-100678,2015-04-18,4,KM-16720,Kunst Miller,42,Senior,United States,Central,Houston,77095,Devices,Tablets,iPad,799.0,4,3196.0
CA-2015-100706,2015-12-16,12,LE-16810,Laurel Elliston,40,Senior,United States,South,Springfield,22153,Devices,Laptops,MacBook,1999.0,3,5997.0
CA-2015-100706,2015-12-16,12,LE-16810,Laurel Elliston,40,Senior,United States,South,Springfield,22153,Devices,Smartphones,iPhone,999.0,4,3996.0
CA-2015-100762,2015-11-24,11,NG-18355,Nat Gilpin,42,Senior,United States,Central,Jackson,49201,Accessories,Audio,AirPods,199.0,4,796.0
CA-2015-100762,2015-11-24,11,NG-18355,Nat Gilpin,42,Senior,United States,Central,Jackson,49201,Devices,Tablets,iPad,799.0,5,3995.0
CA-2015-100860,2015-03-26,3,CS-12505,Cindy Stewart,44,Senior,United States,West,Pomona,91767,Devices,Tablets,iPad,799.0,1,799.0
CA-2015-100867,2015-10-19,10,EH-14125,Eugene Hildebrand,35,Young Professional,United States,West,Lakewood,90712,Devices,Smartphones,iPhone,999.0,4,3996.0
CA-2015-100881,2015-03-28,3,DR-12940,Daniel Raglin,39,Young Professional,United States,West,Albuquerque,87105,Devices,Smartphones,iPhone,999.0,2,1998.0
